folioviv,ingreso_trimestral,educacion_jefe
0907511301,27415.75,10
0907511302,76402.15,4
0907511303,23576.059999999998,3
0907511304,19193.469999999998,6
0907511305,36220.060000000005,5
0907511306,47690.200000000004,8
0907718501,84326.05,4
0907718502,74778.21,9
0907718503,18269.01,4
0907718505,48101.07,10
0907718506,8510.86,3
0907719501,67499.99,6
0907719503,15730.43,4
0907719504,52385.85,10
0907719505,50571.18,6
0907926701,36565.55,8
0907926702,85347.5,10
0907926703,187131.09,4
0907926704,10622.93,3
0907926705,22549.16,6
0907926706,18590.14,6
0907950701,253721.28,10
0907950702,127868.84,10
0907950703,64696.71,4
0907950704,81098.35,10
0907950706,232553.1,11
0908212901,33016.29,10
0908212902,30472.789999999997,1
0908212902,30472.789999999997,7
0908212903,20885.85,3
0908212904,19076.07,4
0908212905,26951.07,6
0908212906,40353.24,8
0908250201,90372.87,5
0908250202,14917.12,1
0908250203,93033.1,4
0908250204,26627.06,4
0908250205,32519.32,6
0908250206,13798.32,1
0908363401,54846.149999999994,10
0908363402,44388.57,9
0908363403,103108.65999999999,6
0908363404,24485.86,3
0908363405,100320.62000000001,10
0908363406,28638.579999999998,6
0908469601,66781.94,8
0908469602,38852.450000000004,7
0908469603,49942.59,4
0908469604,21068.84,6
0908469605,48663.91,6
0908469606,42781.95,10
0908496701,397603.25,8
0908496702,14532.77,6
0908496703,37622.93,10
0908496704,44016.35,6
0908496705,127377.03,11
0908496706,29065.54,4
0908580801,31657.36,4
0908580803,57122.92,6
0908580804,15240.949999999999,3
0908580805,37278.66,4
0908580806,59877.03,7
0908594001,38152.17,6
0908594002,26853.239999999998,4
0908594003,46614.100000000006,8
0908594004,5649.45,4
0908594005,23258.14,4
0908608301,55110.29,8
0908608302,16874.99,6
0908608303,39619.55,6
0908608304,73369.55,8
0908608305,62863.01,8
0908608306,38269.55,6
0908702501,18048.899999999998,7
0908702502,36464.64,3
0908702503,81146.69,4
0908702503,81146.69,10
0908702504,86126.04999999999,6
0908702505,69749.98000000001,4
0908702506,102790.74,10
0908871701,41390.12,7
0908871702,10327.86,6
0908871703,54474.54,1
0908871704,82155.69,7
0908871705,39393.41,5
0908871706,21609.82,4
0908927902,13463.29,1
0908927903,26779.88,5
0908927904,9929.33,11
0908927905,30785.84,6
0908927906,12384.759999999998,5
0909296201,37069.05,6
0909296202,29461.31,8
0909296203,27835.34,6
0909296204,148176.77,11
0909296205,48778.98,10
0909296206,38063.520000000004,4
0909371402,33236.399999999994,4
0909371403,52532.59,3
0909371404,45948.87,8
0909371405,46834.22,3
0909371406,48394.56,8
0909482601,21865.55,4
0909482602,90966.35,9
0909482603,194601.58,6
0909482604,41852.45,6
0909482605,55799.98,6
0909525801,182213.1,10
0909525802,75909.82,11
0909525803,64303.25,10
0909525804,83213.08,11
0909525805,39836.04,6
0909525806,41311.46,7
0909615001,23478.26,6
0909615002,44486.39,8
0909615003,35951.07,10
0909615004,28540.739999999998,4
0909615005,70679.31,8
0909615006,42921.16,6
0909671901,100516.28,4
0909671902,26853.239999999998,6
0909671904,41576.07000000001,4
0909671905,102643.98000000001,4
0909671906,43513.02,9
0909914302,62381.24,8
0909914303,223373.57,10
0909914304,66609.75,10
0909914306,55956.5,5
0910035201,27672.24,3
0910035202,12816.29,6
0910035203,49077.33,9
0910035204,69638.07,4
0910035205,29734.79,4
0910035206,24901.12,4
0910140401,28056.49,4
0910140402,56249.98,7
0910140403,68204.34,8
0910140403,68204.34,6
0910140404,18586.95,9
0910140405,11788.04,6
0910140406,17608.69,5
0910241601,95606.53,10
0910241602,28131.14,6
0910241603,30393.43,6
0910241604,159614.72,8
0910241605,55475.4,3
0910241606,80655.73,6
0910246801,27959.0,6
0910246802,16770.480000000003,8
0910246803,28057.36,4
0910246805,27949.16,1
0910246806,132885.22999999998,4
0910524501,10932.05,4
0910524502,67499.95,6
0910524503,111870.94,6
0910524504,28271.73,7
0910524505,57717.380000000005,6
0910524506,281306.69,6
0910524506,281306.69,4
0910686002,59673.9,4
0910686003,25532.6,6
0910686004,35951.08,8
0910686005,50771.71,7
0910686006,27024.45,6
0910779301,43972.81,6
0910779302,38152.159999999996,10
0910779303,32282.6,6
0910779304,89902.14,3
0910779305,12238.02,8
0910779306,31744.55,6
0910915901,39091.3,8
0910915902,43043.469999999994,10
0910915903,29592.38,7
0910915904,59453.78999999999,8
0910915906,35600.85,6
0910954202,41171.26,8
0910954204,210679.51,11
0910954205,187657.42,10
0910954206,154715.45,7
0910968401,891195.63,10
0910968402,187826.05,6
0910968404,58793.47,9
0910968405,31375.27,10
0911010601,567049.17,11
0911010602,146336.0,11
0911010603,46377.02,6
0911038701,58499.979999999996,8
0911038702,39659.0,6
0911038703,47409.82,8
0911038704,73268.82,7
0911038705,153098.33,10
0911047901,58891.29,6
0911047902,45489.13,6
0911047904,72317.91,8
0911047905,66619.55,8
0911047906,16151.07,1
0911050501,38910.31,6
0911050502,13866.82,6
0911050503,47377.149999999994,8
0911050504,56787.99,6
0911050505,15798.9,6
0911050506,17608.69,6
0911056201,5966.85,3
0911056204,39778.97,7
0911056206,40127.06,6
0911094401,42094.53,6
0911094402,60554.32,10
0911094403,111717.37,10
0911094404,131845.06,10
0911094405,29983.69,5
0911094406,27171.149999999998,8
0911179601,25868.840000000004,4
0911179603,20040.97,6
0911179604,41901.62,6
0911179605,46721.29,8
0911179606,6806.53,8
0911182701,78491.77,6
0911182702,60201.61,9
0911182703,102221.27,6
0911182704,57639.32,3
0911182705,65950.8,5
0911182706,14901.630000000001,7
0911185802,201786.87,10
0911185803,134754.07,10
0911185804,18752.449999999997,10
0911185805,23459.0,5
0911185806,105491.78,6
0911219001,153469.51,9
0911219002,49274.97,3
0911219004,28543.69,10
0911219005,42921.18,6
0911219006,37504.06,3
0911228901,29054.32,3
0911228902,23576.08,6
0911228903,53872.78,3
0911228905,157059.72,6
0911228906,89315.19,6
0911274201,37292.8,4
0911274203,14917.12,10
0911274204,72674.23999999999,6
0911274205,37446.909999999996,6
0911302401,36447.55,4
0911302402,83318.45,6
0911302404,34263.57,7
0911302405,81489.1,10
0911302406,9978.25,8
0911326301,128029.87,10
0911326302,24065.199999999997,4
0911326303,33994.54,7
0911326304,40695.61,5
0911364601,98906.54,8
0911364602,25052.45,8
0911364604,80995.06,7
0911364605,116036.0,6
0911364605,116036.0,8
0911364606,141432.73,6
0911395801,23729.46,8
0911395802,13544.220000000001,5
0911395803,63073.73,6
0911395804,36344.24,5
0911395805,15147.519999999999,3
0911439001,31304.32,6
0911439002,118149.44,10
0911439003,43972.81,6
0911439004,78187.45999999999,10
0911439005,47773.34,4
0911439006,53364.07,4
0911442301,50957.57,4
0911442302,91687.47,1
0911442303,35999.97,4
0911442304,143716.27,6
0911442305,74836.95,8
0911442306,14478.26,3
0911455501,91790.18,4
0911455502,20788.030000000002,8
0911455503,1007.6,1
0911455504,77135.82999999999,5
0911455505,103006.94,6
0911455506,52209.77,7
0911583501,35974.55,6
0911583502,43532.6,6
0911583503,36244.549999999996,4
0911583504,31837.48,5
0911583505,53926.600000000006,1
0911675701,50163.91,4
0911675703,36983.59,8
0911675704,8557.37,4
0911675705,128754.07,10
